timestamp,container,service,cpu_percent,memory_mb
1789442944.765,research-api-api-1,api,4.82,7.504
1789442944.765,research-api-grafana-1,grafana,0.05,45.12
1789442944.765,research-api-postgres-1,postgres,5.23,29.68
1789442944.765,research-api-prometheus-1,prometheus,1.35,30.8
1789442944.765,research-api-cadvisor-1,cadvisor,0.0,15.04
1789442949.783,research-api-api-1,api,12.14,9.699
1789442949.783,research-api-grafana-1,grafana,0.04,45.12
1789442949.783,research-api-postgres-1,postgres,7.58,32.71
1789442949.783,research-api-prometheus-1,prometheus,0.0,30.93
1789442949.783,research-api-cadvisor-1,cadvisor,0.0,16.14
1789442954.789,research-api-api-1,api,21.14,10.33
1789442954.789,research-api-grafana-1,grafana,0.04,45.23
1789442954.789,research-api-postgres-1,postgres,14.55,37.45
1789442954.789,research-api-prometheus-1,prometheus,1.47,32.22
1789442954.789,research-api-cadvisor-1,cadvisor,0.0,15.67
1789442959.761,research-api-api-1,api,24.72,12.06
1789442959.761,research-api-grafana-1,grafana,0.05,45.23
1789442959.761,research-api-postgres-1,postgres,14.74,39.53
1789442959.761,research-api-prometheus-1,prometheus,0.0,32.05
1789442959.761,research-api-cadvisor-1,cadvisor,0.0,17.39
1789442964.773,research-api-api-1,api,34.06,13.21
1789442964.773,research-api-grafana-1,grafana,0.04,45.32
1789442964.773,research-api-postgres-1,postgres,22.05,45.82
1789442964.773,research-api-prometheus-1,prometheus,5.0,33.75
1789442964.773,research-api-cadvisor-1,cadvisor,0.02,17.14
1789442969.751,research-api-api-1,api,30.25,15.61
1789442969.751,research-api-grafana-1,grafana,0.03,45.32
1789442969.751,research-api-postgres-1,postgres,20.39,58.12
1789442969.751,research-api-prometheus-1,prometheus,0.0,33.61
1789442969.751,research-api-cadvisor-1,cadvisor,0.03,16.58
1789442974.762,research-api-api-1,api,40.02,17.66
1789442974.762,research-api-grafana-1,grafana,0.13,45.4
1789442974.762,research-api-postgres-1,postgres,24.77,59.52
1789442974.762,research-api-prometheus-1,prometheus,0.0,33.63
1789442974.762,research-api-cadvisor-1,cadvisor,0.0,16.59
1789442979.776,research-api-api-1,api,36.42,19.04
1789442979.776,research-api-grafana-1,grafana,0.06,45.4
1789442979.776,research-api-postgres-1,postgres,27.42,59.39
1789442979.776,research-api-prometheus-1,prometheus,0.0,33.94
1789442979.776,research-api-cadvisor-1,cadvisor,0.03,17.45
1789442984.763,research-api-api-1,api,42.03,18.08
1789442984.763,research-api-grafana-1,grafana,0.06,45.83
1789442984.763,research-api-postgres-1,postgres,30.12,60.43
1789442984.763,research-api-prometheus-1,prometheus,1.0,34.2
1789442984.763,research-api-cadvisor-1,cadvisor,0.0,17.47
1789442989.777,research-api-api-1,api,43.7,18.63
1789442989.777,research-api-grafana-1,grafana,0.12,46.47
1789442989.777,research-api-postgres-1,postgres,32.4,59.6
1789442989.777,research-api-prometheus-1,prometheus,0.0,34.45
1789442989.777,research-api-cadvisor-1,cadvisor,0.0,17.81
1789442994.791,research-api-api-1,api,37.86,17.67
1789442994.791,research-api-grafana-1,grafana,0.03,46.32
1789442994.791,research-api-postgres-1,postgres,31.86,59.99
1789442994.791,research-api-prometheus-1,prometheus,1.13,34.64
1789442994.791,research-api-cadvisor-1,cadvisor,0.0,17.89
1789442999.766,research-api-api-1,api,40.61,17.49
1789442999.766,research-api-grafana-1,grafana,0.05,46.32
