timestamp,service,value
1789442942,monolith,1
1789442952,monolith,4
1789442962,monolith,6
1789442972,monolith,14
1789442982,monolith,14
1789442992,monolith,14
1789443002,monolith,14
1789443012,monolith,14
1789443022,monolith,14
1789443032,monolith,14
1789443042,monolith,14
1789443052,monolith,14
1789443062,monolith,14
1789443072,monolith,14
1789443082,monolith,14
1789443092,monolith,14
1789443102,monolith,14
1789443112,monolith,14
1789443122,monolith,14
1789443132,monolith,14
1789443142,monolith,14
1789443152,monolith,14
1789443162,monolith,14
1789443172,monolith,14
1789443182,monolith,14
1789443192,monolith,14
1789443202,monolith,14
1789443212,monolith,14
1789443222,monolith,14
1789443232,monolith,14
1789443242,monolith,14
1789443252,monolith,14
1789443262,monolith,14
1789443272,monolith,14
1789443282,monolith,14
1789443292,monolith,14
1789443302,monolith,14
1789443312,monolith,14
1789443322,monolith,14
1789443332,monolith,14
1789443342,monolith,14
1789443352,monolith,14
1789443362,monolith,14
1789443372,monolith,14
1789443382,monolith,14
1789443392,monolith,14
1789443402,monolith,14
1789443412,monolith,14
1789443422,monolith,14
1789443432,monolith,14
1789443442,monolith,14
1789443452,monolith,14
1789443462,monolith,14
1789443472,monolith,14
1789443482,monolith,14
1789443492,monolith,14
1789443502,monolith,14
1789443512,monolith,14
1789443522,monolith,14
1789443532,monolith,14
1789443542,monolith,14
1789443552,monolith,14
1789443562,monolith,14
1789443572,monolith,14
1789443582,monolith,14
1789443592,monolith,14
1789443602,monolith,14
1789443612,monolith,14
1789443622,monolith,14
1789443632,monolith,14
1789443642,monolith,14
1789443652,monolith,14
1789443662,monolith,14
1789443672,monolith,14
1789443682,monolith,14
1789443692,monolith,14
1789443702,monolith,14
1789443712,monolith,14
1789443722,monolith,14
1789443732,monolith,14
1789443742,monolith,14
1789443752,monolith,14
1789443762,monolith,14
1789443772,monolith,14
1789443782,monolith,14
1789443792,monolith,14
1789443802,monolith,14
1789443812,monolith,14
1789443822,monolith,14
1789443832,monolith,14
1789443842,monolith,14
1789443852,monolith,14
1789443862,monolith,14
1789443872,monolith,14
1789443882,monolith,14
1789443892,monolith,14
1789443902,monolith,14
1789443912,monolith,14
1789443922,monolith,14
1789443932,monolith,14
1789443942,monolith,14
1789443952,monolith,14
1789443962,monolith,14
1789443972,monolith,14
