stage,run,metric,unit,target,load_level,samples,mean,p95,max
01,3,process_cpu_percent,percentual de um nucleo,monolith,low,30,38.019,42.08,42.3
01,3,process_cpu_percent,percentual de um nucleo,monolith,medium,30,77.297,81.641,82.42
01,3,process_cpu_percent,percentual de um nucleo,monolith,high,30,161.688,170.488,170.61
01,3,process_cpu_percent,percentual de um nucleo,cadvisor,low,30,0.276,0.4,0.457
01,3,process_cpu_percent,percentual de um nucleo,cadvisor,medium,30,0.181,0.22,0.26
01,3,process_cpu_percent,percentual de um nucleo,cadvisor,high,30,0.15,0.18,0.2
01,3,process_cpu_percent,percentual de um nucleo,prometheus,low,30,0.21,0.24,0.508
01,3,process_cpu_percent,percentual de um nucleo,prometheus,medium,30,0.152,0.18,0.18
01,3,process_cpu_percent,percentual de um nucleo,prometheus,high,30,0.123,0.14,0.16
01,3,process_memory_mb,MB,monolith,low,30,24.489,25.309,25.492
01,3,process_memory_mb,MB,monolith,medium,30,30.405,30.936,31.168
01,3,process_memory_mb,MB,monolith,high,30,40.649,41.322,41.5
01,3,process_memory_mb,MB,cadvisor,low,30,40.884,43.091,43.281
01,3,process_memory_mb,MB,cadvisor,medium,30,41.802,42.789,42.863
01,3,process_memory_mb,MB,cadvisor,high,30,43.38,44.548,44.66
01,3,process_memory_mb,MB,prometheus,low,30,91.368,91.973,91.973
01,3,process_memory_mb,MB,prometheus,medium,30,89.368,91.973,91.973
01,3,process_memory_mb,MB,prometheus,high,30,88.978,90.223,90.223
01,3,goroutines,goroutines,monolith,low,30,60.267,64.1,77.0
01,3,goroutines,goroutines,monolith,medium,30,210.733,223.0,224.0
01,3,goroutines,goroutines,monolith,high,30,518.8,542.1,548.0
01,3,goroutines,goroutines,cadvisor,low,30,26.767,28.0,28.0
01,3,goroutines,goroutines,cadvisor,medium,30,26.933,28.0,28.0
01,3,goroutines,goroutines,cadvisor,high,30,26.933,28.0,28.0
01,3,goroutines,goroutines,prometheus,low,30,36.033,36.0,37.0
01,3,goroutines,goroutines,prometheus,medium,30,36.1,37.0,37.0
01,3,goroutines,goroutines,prometheus,high,30,36.167,37.0,37.0
01,3,heap_alloc_mb,MB,monolith,low,30,3.838,4.482,4.798
01,3,heap_alloc_mb,MB,monolith,medium,30,6.02,6.843,7.227
01,3,heap_alloc_mb,MB,monolith,high,30,10.666,12.963,13.17
01,3,heap_alloc_mb,MB,cadvisor,low,30,6.309,8.369,9.78
01,3,heap_alloc_mb,MB,cadvisor,medium,30,6.584,8.15,8.963
01,3,heap_alloc_mb,MB,cadvisor,high,30,6.896,8.716,9.083
01,3,heap_alloc_mb,MB,prometheus,low,30,22.797,26.258,26.866
01,3,heap_alloc_mb,MB,prometheus,medium,30,22.904,26.127,26.652
01,3,heap_alloc_mb,MB,prometheus,high,30,22.254,25.985,26.323
01,3,gc_pause_ms,ms,monolith,low,30,0.463,0.568,0.574
01,3,gc_pause_ms,ms,monolith,medium,30,0.425,0.51,0.526
01,3,gc_pause_ms,ms,monolith,high,30,0.397,0.424,0.433
01,3,gc_pause_ms,ms,cadvisor,low,30,0.251,0.61,0.644
01,3,gc_pause_ms,ms,cadvisor,medium,30,0.163,0.46,0.461
01,3,gc_pause_ms,ms,cadvisor,high,30,0.189,0.445,0.446
01,3,gc_pause_ms,ms,prometheus,low,30,0.066,0.14,0.165
01,3,gc_pause_ms,ms,prometheus,medium,30,0.026,0.071,0.071
01,3,gc_pause_ms,ms,prometheus,high,30,0.045,0.165,0.165
01,3,pool_acquired_conns,conexoes,monolith,low,30,0.367,2.55,4.0
01,3,pool_acquired_conns,conexoes,monolith,medium,30,0.933,5.55,7.0
01,3,pool_acquired_conns,conexoes,monolith,high,30,4.433,13.0,13.0
01,3,pool_idle_conns,conexoes,monolith,low,30,13.533,14.0,14.0
01,3,pool_idle_conns,conexoes,monolith,medium,30,13.067,14.0,14.0
01,3,pool_idle_conns,conexoes,monolith,high,30,9.567,14.0,14.0
01,3,pool_total_conns,conexoes,monolith,low,30,13.9,14.0,14.0
01,3,pool_total_conns,conexoes,monolith,medium,30,14.0,14.0,14.0
01,3,pool_total_conns,conexoes,monolith,high,30,14.0,14.0,14.0
01,3,pool_wait_per_acquire_ms,ms,monolith,low,30,0.012,0.016,0.027
