stage,descricao,run,load_level,endpoint,p50_ms,p90_ms,p95_ms,p99_ms,avg_ms,max_ms,throughput_req_s,total_requests,error_rate
Stage 01,Monolito completo,1,todos,todos,1.14,3.51,4.76,8.25,1.69,31.69,2374.3,2422047,0
Stage 01,Monolito completo,1,todos,get_product,0.92,2.35,3.19,6.02,1.26,26.05,,,0
Stage 01,Monolito completo,1,medium,post_order,3.45,7.41,9.38,13.85,4.21,25.13,,,0
Stage 01,Monolito completo,1,high,get_user,0.85,2.1,2.82,5.06,1.14,23.6,,,0
Stage 01,Monolito completo,1,todos,get_user,0.91,2.34,3.17,5.99,1.25,27.77,,,0
Stage 01,Monolito completo,1,low,list_products,1.53,2.89,3.57,5.62,1.79,24.7,,,0
Stage 01,Monolito completo,1,high,get_inventory,0.85,2.11,2.81,5.02,1.14,22.59,,,0
Stage 01,Monolito completo,1,medium,get_product,1.05,3.03,4.27,8.17,1.53,19.12,,,0
Stage 01,Monolito completo,1,low,todos,1.71,4.84,6.09,8.96,2.34,25.82,,,
Stage 01,Monolito completo,1,low,get_inventory,1.41,2.66,3.32,5.2,1.65,18.37,,,0
Stage 01,Monolito completo,1,low,get_user,1.41,2.7,3.34,5.15,1.66,23.24,,,0
Stage 01,Monolito completo,1,medium,get_user,1.05,3.03,4.3,8.06,1.52,25.25,,,0
Stage 01,Monolito completo,1,medium,get_inventory,1.05,3.03,4.31,8.08,1.52,22.76,,,0
Stage 01,Monolito completo,1,high,post_order,2.98,5.66,6.99,11.22,3.51,31.69,,,0
Stage 01,Monolito completo,1,todos,list_products,0.97,2.44,3.29,6.16,1.32,26.02,,,0
Stage 01,Monolito completo,1,medium,list_orders,1.52,3.86,5.3,9.31,2.05,25.17,,,0
Stage 01,Monolito completo,1,high,list_products,0.9,2.19,2.91,5.16,1.2,22.72,,,0
Stage 01,Monolito completo,1,todos,get_inventory,0.91,2.34,3.17,5.99,1.25,22.76,,,0
Stage 01,Monolito completo,1,high,list_orders,1.22,2.7,3.51,5.97,1.56,22.16,,,0
Stage 01,Monolito completo,1,medium,list_products,1.12,3.15,4.48,8.3,1.6,26.02,,,0
Stage 01,Monolito completo,1,high,get_product,0.86,2.12,2.85,5.1,1.15,26.05,,,0
Stage 01,Monolito completo,1,todos,list_orders,1.33,3.06,4.02,7.19,1.72,25.82,,,0
Stage 01,Monolito completo,1,medium,todos,1.33,4.26,5.88,10.0,1.99,26.02,,,
Stage 01,Monolito completo,1,low,post_order,5.09,7.91,9.04,12.43,5.45,25.54,,,0
Stage 01,Monolito completo,1,high,todos,1.05,3.2,4.23,7.19,1.55,31.69,,,
Stage 01,Monolito completo,1,todos,post_order,3.16,6.31,7.87,12.24,3.78,31.69,,,0
Stage 01,Monolito completo,1,low,get_product,1.42,2.7,3.37,5.3,1.67,23.6,,,0
Stage 01,Monolito completo,1,low,list_orders,2.18,3.93,4.81,7.3,2.51,25.82,,,0
Stage 01,Monolito completo,2,medium,todos,1.27,4.12,5.73,10.13,1.95,36.0,,,
Stage 01,Monolito completo,2,medium,list_orders,1.46,3.74,5.21,9.55,2.0,28.13,,,0
Stage 01,Monolito completo,2,high,todos,1.03,3.06,4.01,6.49,1.49,27.93,,,
Stage 01,Monolito completo,2,low,list_products,1.52,2.86,3.58,5.7,1.78,24.39,,,0
Stage 01,Monolito completo,2,medium,post_order,3.35,7.28,9.29,13.96,4.13,36.0,,,0
Stage 01,Monolito completo,2,low,todos,1.71,4.84,6.14,9.04,2.35,28.28,,,
Stage 01,Monolito completo,2,medium,get_user,1.0,2.94,4.21,8.12,1.48,31.01,,,0
Stage 01,Monolito completo,2,high,get_product,0.84,2.0,2.63,4.64,1.1,22.82,,,0
Stage 01,Monolito completo,2,medium,list_products,1.07,3.03,4.35,8.26,1.56,29.05,,,0
Stage 01,Monolito completo,2,low,get_product,1.43,2.74,3.38,5.3,1.68,17.51,,,0
Stage 01,Monolito completo,2,todos,list_products,0.95,2.32,3.12,5.85,1.27,29.05,,,0
Stage 01,Monolito completo,2,medium,get_product,1.01,2.9,4.14,8.08,1.48,27.65,,,0
Stage 01,Monolito completo,2,low,post_order,5.12,7.91,9.19,12.61,5.48,28.28,,,0
Stage 01,Monolito completo,2,high,get_inventory,0.84,2.0,2.63,4.68,1.1,18.43,,,0
Stage 01,Monolito completo,2,high,list_orders,1.21,2.59,3.32,5.55,1.51,19.58,,,0
Stage 01,Monolito completo,2,low,get_user,1.42,2.69,3.32,5.29,1.66,21.76,,,0
Stage 01,Monolito completo,2,high,list_products,0.89,2.07,2.7,4.71,1.15,21.54,,,0
Stage 01,Monolito completo,2,low,list_orders,2.2,3.99,4.89,7.25,2.54,25.88,,,0
Stage 01,Monolito completo,2,todos,get_user,0.89,2.23,3.01,5.69,1.21,31.01,,,0
Stage 01,Monolito completo,2,todos,list_orders,1.31,2.95,3.89,6.82,1.68,28.13,,,0
Stage 01,Monolito completo,2,high,get_user,0.83,1.99,2.62,4.6,1.09,22.37,,,0
Stage 01,Monolito completo,2,low,get_inventory,1.41,2.67,3.32,5.28,1.66,20.28,,,0
Stage 01,Monolito completo,2,todos,get_product,0.9,2.24,3.01,5.63,1.21,27.65,,,0
Stage 01,Monolito completo,2,todos,todos,1.11,3.37,4.54,7.76,1.63,36.0,2375.7,2423478,0
Stage 01,Monolito completo,2,high,post_order,2.93,5.29,6.37,9.34,3.35,27.93,,,0
Stage 01,Monolito completo,2,todos,post_order,3.09,5.99,7.38,11.32,3.65,36.0,,,0
Stage 01,Monolito completo,2,todos,get_inventory,0.89,2.24,3.01,5.68,1.21,26.38,,,0
Stage 01,Monolito completo,2,medium,get_inventory,1.0,2.92,4.19,8.2,1.48,26.38,,,0
Stage 01,Monolito completo,3,low,list_orders,2.2,4.03,4.92,7.13,2.53,22.01,,,0
Stage 01,Monolito completo,3,low,post_order,5.11,7.96,9.12,12.05,5.47,27.49,,,0
Stage 01,Monolito completo,3,todos,todos,1.1,3.35,4.51,7.68,1.62,30.98,2376.1,2423839,0
Stage 01,Monolito completo,3,low,get_inventory,1.41,2.68,3.28,4.93,1.64,18.01,,,0
Stage 01,Monolito completo,3,medium,get_user,0.95,2.75,3.96,7.97,1.41,22.37,,,0
Stage 01,Monolito completo,3,medium,todos,1.2,3.93,5.48,9.88,1.86,30.98,,,
Stage 01,Monolito completo,3,high,get_inventory,0.84,2.03,2.68,4.72,1.11,19.26,,,0
Stage 01,Monolito completo,3,todos,get_product,0.89,2.22,2.99,5.62,1.2,23.14,,,0
Stage 01,Monolito completo,3,low,get_user,1.42,2.7,3.32,4.91,1.65,22.28,,,0
Stage 01,Monolito completo,3,todos,post_order,3.07,5.93,7.29,11.15,3.62,30.98,,,0
Stage 01,Monolito completo,3,low,list_products,1.52,2.88,3.51,5.39,1.77,20.26,,,0
Stage 01,Monolito completo,3,low,get_product,1.44,2.72,3.32,4.93,1.66,17.46,,,0
