stage,descricao,run,metric,unit,target,load_level,samples,mean,p95,max
Stage 01,Monolito completo,1,process_cpu_percent,percentual de um nucleo,monolith,low,30,37.953,41.535,41.64
Stage 01,Monolito completo,1,process_cpu_percent,percentual de um nucleo,monolith,medium,30,78.864,82.982,83.44
Stage 01,Monolito completo,1,process_cpu_percent,percentual de um nucleo,monolith,high,30,162.061,170.659,170.78
Stage 01,Monolito completo,1,process_cpu_percent,percentual de um nucleo,cadvisor,low,30,0.267,0.32,0.34
Stage 01,Monolito completo,1,process_cpu_percent,percentual de um nucleo,cadvisor,medium,30,0.197,0.26,0.26
Stage 01,Monolito completo,1,process_cpu_percent,percentual de um nucleo,cadvisor,high,30,0.157,0.18,0.2
Stage 01,Monolito completo,1,process_cpu_percent,percentual de um nucleo,prometheus,low,30,0.215,0.273,0.28
Stage 01,Monolito completo,1,process_cpu_percent,percentual de um nucleo,prometheus,medium,30,0.139,0.16,0.18
Stage 01,Monolito completo,1,process_cpu_percent,percentual de um nucleo,prometheus,high,30,0.116,0.14,0.14
Stage 01,Monolito completo,1,process_memory_mb,MB,monolith,low,30,24.838,25.407,25.465
Stage 01,Monolito completo,1,process_memory_mb,MB,monolith,medium,30,30.712,31.575,32.02
Stage 01,Monolito completo,1,process_memory_mb,MB,monolith,high,30,40.613,41.099,41.141
Stage 01,Monolito completo,1,process_memory_mb,MB,cadvisor,low,30,41.202,42.445,42.57
Stage 01,Monolito completo,1,process_memory_mb,MB,cadvisor,medium,30,41.858,42.977,42.977
Stage 01,Monolito completo,1,process_memory_mb,MB,cadvisor,high,30,42.157,43.048,43.062
Stage 01,Monolito completo,1,process_memory_mb,MB,prometheus,low,30,87.08,90.047,90.047
Stage 01,Monolito completo,1,process_memory_mb,MB,prometheus,medium,30,89.711,90.438,90.438
Stage 01,Monolito completo,1,process_memory_mb,MB,prometheus,high,30,88.548,89.535,89.535
Stage 01,Monolito completo,1,goroutines,goroutines,monolith,low,30,59.433,60.0,69.0
Stage 01,Monolito completo,1,goroutines,goroutines,monolith,medium,30,211.067,220.1,225.0
Stage 01,Monolito completo,1,goroutines,goroutines,monolith,high,30,518.533,539.1,540.0
Stage 01,Monolito completo,1,goroutines,goroutines,cadvisor,low,30,26.9,28.0,28.0
Stage 01,Monolito completo,1,goroutines,goroutines,cadvisor,medium,30,27.067,28.0,28.0
Stage 01,Monolito completo,1,goroutines,goroutines,cadvisor,high,30,26.8,28.0,28.0
Stage 01,Monolito completo,1,goroutines,goroutines,prometheus,low,30,36.167,37.0,38.0
Stage 01,Monolito completo,1,goroutines,goroutines,prometheus,medium,30,36.067,36.55,37.0
Stage 01,Monolito completo,1,goroutines,goroutines,prometheus,high,30,36.033,36.0,37.0
Stage 01,Monolito completo,1,heap_alloc_mb,MB,monolith,low,30,3.864,4.383,4.877
Stage 01,Monolito completo,1,heap_alloc_mb,MB,monolith,medium,30,6.053,7.282,7.605
Stage 01,Monolito completo,1,heap_alloc_mb,MB,monolith,high,30,10.317,13.314,13.367
Stage 01,Monolito completo,1,heap_alloc_mb,MB,cadvisor,low,30,6.412,7.734,8.688
Stage 01,Monolito completo,1,heap_alloc_mb,MB,cadvisor,medium,30,6.415,7.985,8.285
