timestamp,container,service,cpu_percent,memory_mb
1789446134.307,research-api-nginx-1,nginx,2.05,17.41
1789446134.307,research-api-grafana-1,grafana,0.04,51.43
1789446134.307,research-api-api-1,api,4.38,8.574
1789446134.307,research-api-postgres-1,postgres,3.99,30.12
1789446134.307,research-api-prometheus-1,prometheus,0.0,23.45
1789446134.307,research-api-cadvisor-1,cadvisor,0.0,15.92
1789446139.307,research-api-nginx-1,nginx,7.13,17.22
1789446139.307,research-api-grafana-1,grafana,0.06,51.43
1789446139.307,research-api-api-1,api,13.0,10.22
1789446139.307,research-api-postgres-1,postgres,6.76,30.13
1789446139.307,research-api-prometheus-1,prometheus,0.04,23.45
1789446139.307,research-api-cadvisor-1,cadvisor,0.0,15.68
1789446144.331,research-api-nginx-1,nginx,10.25,17.25
1789446144.331,research-api-grafana-1,grafana,0.04,51.45
1789446144.331,research-api-api-1,api,20.84,10.69
1789446144.331,research-api-postgres-1,postgres,10.24,35.37
1789446144.331,research-api-prometheus-1,prometheus,0.02,24.44
1789446144.331,research-api-cadvisor-1,cadvisor,0.0,16.53
1789446149.319,research-api-nginx-1,nginx,13.11,17.65
1789446149.319,research-api-grafana-1,grafana,0.04,51.45
1789446149.319,research-api-api-1,api,25.4,10.82
1789446149.319,research-api-postgres-1,postgres,12.8,38.89
1789446149.319,research-api-prometheus-1,prometheus,0.04,24.44
1789446149.319,research-api-cadvisor-1,cadvisor,0.0,16.33
1789446154.293,research-api-nginx-1,nginx,16.85,18.43
1789446154.293,research-api-grafana-1,grafana,0.05,51.53
1789446154.293,research-api-api-1,api,32.58,11.67
1789446154.293,research-api-postgres-1,postgres,18.33,44.05
1789446154.293,research-api-prometheus-1,prometheus,0.0,24.41
1789446154.293,research-api-cadvisor-1,cadvisor,0.0,17.35
1789446159.307,research-api-nginx-1,nginx,16.16,17.88
1789446159.307,research-api-grafana-1,grafana,0.04,51.53
1789446159.307,research-api-api-1,api,33.17,14.81
1789446159.307,research-api-postgres-1,postgres,19.64,54.9
1789446159.307,research-api-prometheus-1,prometheus,0.04,24.41
1789446159.307,research-api-cadvisor-1,cadvisor,0.0,17.35
1789446164.286,research-api-nginx-1,nginx,22.32,18.38
1789446164.286,research-api-grafana-1,grafana,0.04,51.55
1789446164.286,research-api-api-1,api,45.25,16.0
1789446164.286,research-api-postgres-1,postgres,24.46,60.13
1789446164.286,research-api-prometheus-1,prometheus,0.0,24.68
1789446164.286,research-api-cadvisor-1,cadvisor,0.24,17.48
1789446169.309,research-api-nginx-1,nginx,22.71,18.0
1789446169.309,research-api-grafana-1,grafana,0.06,51.55
1789446169.309,research-api-api-1,api,43.33,16.21
1789446169.309,research-api-postgres-1,postgres,23.29,59.47
1789446169.309,research-api-prometheus-1,prometheus,0.19,24.93
1789446169.309,research-api-cadvisor-1,cadvisor,0.0,17.48
1789446174.342,research-api-nginx-1,nginx,25.45,17.84
1789446174.342,research-api-grafana-1,grafana,0.04,51.6
1789446174.342,research-api-api-1,api,50.15,18.16
1789446174.342,research-api-postgres-1,postgres,29.86,59.72
1789446174.342,research-api-prometheus-1,prometheus,0.13,25.41
1789446174.342,research-api-cadvisor-1,cadvisor,0.0,15.28
1789446179.338,research-api-nginx-1,nginx,27.69,18.4
1789446179.338,research-api-grafana-1,grafana,0.06,51.6
1789446179.338,research-api-api-1,api,51.93,17.33
1789446179.338,research-api-postgres-1,postgres,28.5,59.35
1789446179.338,research-api-prometheus-1,prometheus,0.04,25.16
