timestamp,service,value
1789446132,monolith,1
1789446142,monolith,1
1789446152,monolith,4
1789446162,monolith,8
1789446172,monolith,14
1789446182,monolith,14
1789446192,monolith,14
1789446202,monolith,14
1789446212,monolith,14
1789446222,monolith,14
1789446232,monolith,14
1789446242,monolith,14
1789446252,monolith,14
1789446262,monolith,14
1789446272,monolith,14
1789446282,monolith,14
1789446292,monolith,14
1789446302,monolith,14
1789446312,monolith,14
1789446322,monolith,14
1789446332,monolith,14
1789446342,monolith,14
1789446352,monolith,14
1789446362,monolith,14
1789446372,monolith,14
1789446382,monolith,14
1789446392,monolith,14
1789446402,monolith,14
1789446412,monolith,14
1789446422,monolith,14
1789446432,monolith,14
1789446442,monolith,14
1789446452,monolith,14
1789446462,monolith,14
1789446472,monolith,14
1789446482,monolith,14
1789446492,monolith,14
1789446502,monolith,14
1789446512,monolith,14
1789446522,monolith,14
1789446532,monolith,14
1789446542,monolith,14
1789446552,monolith,14
1789446562,monolith,14
1789446572,monolith,14
1789446582,monolith,14
1789446592,monolith,14
1789446602,monolith,14
1789446612,monolith,14
1789446622,monolith,14
1789446632,monolith,14
1789446642,monolith,14
1789446652,monolith,14
1789446662,monolith,14
1789446672,monolith,14
1789446682,monolith,14
1789446692,monolith,14
1789446702,monolith,14
1789446712,monolith,14
1789446722,monolith,14
1789446732,monolith,14
1789446742,monolith,14
1789446752,monolith,14
1789446762,monolith,14
1789446772,monolith,14
1789446782,monolith,14
1789446792,monolith,14
1789446802,monolith,14
1789446812,monolith,14
1789446822,monolith,14
1789446832,monolith,14
1789446842,monolith,14
1789446852,monolith,14
1789446862,monolith,14
1789446872,monolith,14
1789446882,monolith,14
1789446892,monolith,14
1789446902,monolith,14
1789446912,monolith,14
1789446922,monolith,14
1789446932,monolith,14
1789446942,monolith,14
1789446952,monolith,14
1789446962,monolith,14
1789446972,monolith,14
1789446982,monolith,14
1789446992,monolith,14
1789447002,monolith,14
1789447012,monolith,14
1789447022,monolith,14
1789447032,monolith,14
1789447042,monolith,14
1789447052,monolith,14
1789447062,monolith,14
1789447072,monolith,14
1789447082,monolith,14
1789447092,monolith,14
1789447102,monolith,14
1789447112,monolith,14
1789447122,monolith,14
1789447132,monolith,14
1789447142,monolith,14
1789447152,monolith,14
1789447162,monolith,14
