timestamp,service,value
1789447194,monolith,0
1789447204,monolith,0
1789447214,monolith,3
1789447224,monolith,0
1789447234,monolith,0
1789447244,monolith,0
1789447254,monolith,0
1789447264,monolith,0
1789447274,monolith,0
1789447284,monolith,0
1789447294,monolith,0
1789447304,monolith,0
1789447314,monolith,0
1789447324,monolith,0
1789447334,monolith,2
1789447344,monolith,2
1789447354,monolith,0
1789447364,monolith,2
1789447374,monolith,2
1789447384,monolith,1
1789447394,monolith,2
1789447404,monolith,4
1789447414,monolith,0
1789447424,monolith,0
1789447434,monolith,2
1789447444,monolith,0
1789447454,monolith,0
1789447464,monolith,0
1789447474,monolith,0
1789447484,monolith,0
1789447494,monolith,0
1789447504,monolith,0
1789447514,monolith,0
1789447524,monolith,0
1789447534,monolith,0
1789447544,monolith,1
1789447554,monolith,0
1789447564,monolith,0
1789447574,monolith,1
1789447584,monolith,2
1789447594,monolith,3
1789447604,monolith,0
1789447614,monolith,0
1789447624,monolith,0
1789447634,monolith,1
1789447644,monolith,0
1789447654,monolith,2
1789447664,monolith,0
1789447674,monolith,3
1789447684,monolith,0
1789447694,monolith,3
1789447704,monolith,10
1789447714,monolith,2
1789447724,monolith,1
1789447734,monolith,0
1789447744,monolith,6
1789447754,monolith,0
1789447764,monolith,0
1789447774,monolith,0
1789447784,monolith,1
1789447794,monolith,0
1789447804,monolith,0
1789447814,monolith,2
1789447824,monolith,3
1789447834,monolith,0
1789447844,monolith,1
1789447854,monolith,0
1789447864,monolith,0
1789447874,monolith,0
1789447884,monolith,4
1789447894,monolith,7
1789447904,monolith,5
1789447914,monolith,10
1789447924,monolith,0
1789447934,monolith,7
1789447944,monolith,2
1789447954,monolith,14
1789447964,monolith,2
1789447974,monolith,1
1789447984,monolith,5
1789447994,monolith,5
1789448004,monolith,7
1789448014,monolith,5
1789448024,monolith,4
1789448034,monolith,0
1789448044,monolith,10
1789448054,monolith,0
1789448064,monolith,3
1789448074,monolith,2
1789448084,monolith,1
1789448094,monolith,8
1789448104,monolith,0
1789448114,monolith,8
1789448124,monolith,9
1789448134,monolith,5
1789448144,monolith,5
1789448154,monolith,2
1789448164,monolith,3
1789448174,monolith,2
1789448184,monolith,7
1789448194,monolith,14
1789448204,monolith,0
1789448214,monolith,0
1789448224,monolith,0
