timestamp,service,value
1789448258,monolith,0.05967180507210344
1789448268,monolith,0.059669431350319234
1789448278,monolith,0.1591184836008513
1789448288,monolith,0.2382679166666667
1789448298,monolith,0.3221326666666667
1789448308,monolith,0.440925
1789448318,monolith,0.4742583333333333
1789448328,monolith,0.9648796666666667
1789448338,monolith,0.86
1789448348,monolith,0.76
1789448358,monolith,0.7000000000000001
1789448368,monolith,0.74
1789448378,monolith,0.16
1789448388,monolith,0.2
1789448398,monolith,0.2
1789448408,monolith,0.12
1789448418,monolith,0.4
1789448428,monolith,0.44
1789448438,monolith,0.42
1789448448,monolith,0.56
1789448458,monolith,0.58
1789448468,monolith,0.22
1789448478,monolith,0.2
1789448488,monolith,0.2
1789448498,monolith,0.06
1789448508,monolith,0.04
1789448518,monolith,0.26
1789448528,monolith,0.26
1789448538,monolith,0.24
1789448548,monolith,0.38
1789448558,monolith,0.38
1789448568,monolith,0.26
1789448578,monolith,0.24
1789448588,monolith,0.26
1789448598,monolith,0.2
1789448608,monolith,0.78
1789448618,monolith,0.96
1789448628,monolith,1.36
1789448638,monolith,1.74
1789448648,monolith,2.08
1789448658,monolith,1.6600000000000001
1789448668,monolith,4.16
1789448678,monolith,22.25829166666667
1789448688,monolith,26.053573
1789448698,monolith,26.963594
1789448708,monolith,27.656948333333332
1789448718,monolith,25.42
1789448728,monolith,6.7
1789448738,monolith,2.8198872045118195
1789448748,monolith,6.34
1789448758,monolith,6
1789448768,monolith,6.72
1789448778,monolith,7.66
1789448788,monolith,7.080283211328453
1789448798,monolith,3.08
1789448808,monolith,2.64
1789448818,monolith,12.46
1789448828,monolith,15.76
1789448838,monolith,26.7
1789448848,monolith,30.740000000000002
1789448858,monolith,44.88
1789448868,monolith,36.34
1789448878,monolith,36.82
1789448888,monolith,28.1
1789448898,monolith,30.18
1789448908,monolith,26.3
1789448918,monolith,32.9
1789448928,monolith,49.52
1789448938,monolith,124.28
1789448948,monolith,283.84000000000003
1789448958,monolith,485.66
1789448968,monolith,703.6135
1789448978,monolith,883.835837830635
1789448988,monolith,1049.42
1789448998,monolith,1173.94
1789449008,monolith,1200.04
1789449018,monolith,1231.54
1789449028,monolith,1239.2739934363244
1789449038,monolith,1267.16
1789449048,monolith,1196.44
1789449058,monolith,1210.78
1789449068,monolith,1186.695193153643
1789449078,monolith,1195.4478179127166
1789449088,monolith,1220.84
1789449098,monolith,1214.46
1789449108,monolith,1226.22
1789449118,monolith,1222.0532927902696
1789449128,monolith,1268.6200000000001
1789449138,monolith,1226.02
1789449148,monolith,1247.02
1789449158,monolith,1234.3500159897665
1789449168,monolith,1200.34
1789449178,monolith,1204.66
1789449188,monolith,1219.46
1789449198,monolith,1261.1243325400476
1789449208,monolith,1246.097502401537
1789449218,monolith,1292.14
1789449228,monolith,1226.5309387624495
1789449238,monolith,1196.9
1789449248,monolith,1173.0303818229095
1789449258,monolith,1107.5
1789449268,monolith,899.94
1789449278,monolith,685.5674226969079
1789449288,monolith,464.54
