timestamp,service,value
1789452560,monolith-partial-03,1
1789452570,monolith-partial-03,3
1789452580,monolith-partial-03,5
1789452590,monolith-partial-03,7
1789452600,monolith-partial-03,8
1789452610,monolith-partial-03,9
1789452620,monolith-partial-03,11
1789452630,monolith-partial-03,11
1789452640,monolith-partial-03,11
1789452650,monolith-partial-03,11
1789452660,monolith-partial-03,11
1789452670,monolith-partial-03,11
1789452680,monolith-partial-03,11
1789452690,monolith-partial-03,11
1789452700,monolith-partial-03,11
1789452710,monolith-partial-03,11
1789452720,monolith-partial-03,11
1789452730,monolith-partial-03,11
1789452740,monolith-partial-03,11
1789452750,monolith-partial-03,11
1789452760,monolith-partial-03,11
1789452770,monolith-partial-03,11
1789452780,monolith-partial-03,11
1789452790,monolith-partial-03,11
1789452800,monolith-partial-03,11
1789452810,monolith-partial-03,12
1789452820,monolith-partial-03,12
1789452830,monolith-partial-03,12
1789452840,monolith-partial-03,12
1789452850,monolith-partial-03,12
1789452860,monolith-partial-03,12
1789452870,monolith-partial-03,12
1789452880,monolith-partial-03,12
1789452890,monolith-partial-03,12
1789452900,monolith-partial-03,12
1789452910,monolith-partial-03,12
1789452920,monolith-partial-03,12
1789452930,monolith-partial-03,12
1789452940,monolith-partial-03,12
1789452950,monolith-partial-03,12
1789452960,monolith-partial-03,12
1789452970,monolith-partial-03,12
1789452980,monolith-partial-03,12
1789452990,monolith-partial-03,13
1789453000,monolith-partial-03,14
1789453010,monolith-partial-03,14
1789453020,monolith-partial-03,14
1789453030,monolith-partial-03,14
1789453040,monolith-partial-03,14
1789453050,monolith-partial-03,14
1789453060,monolith-partial-03,14
1789453070,monolith-partial-03,14
1789453080,monolith-partial-03,14
1789453090,monolith-partial-03,14
1789453100,monolith-partial-03,14
1789453110,monolith-partial-03,14
1789453120,monolith-partial-03,14
1789453130,monolith-partial-03,14
1789453140,monolith-partial-03,14
1789453150,monolith-partial-03,14
1789453160,monolith-partial-03,14
1789453170,monolith-partial-03,14
1789453180,monolith-partial-03,14
1789453190,monolith-partial-03,14
1789453200,monolith-partial-03,14
1789453210,monolith-partial-03,14
1789453220,monolith-partial-03,14
1789453230,monolith-partial-03,14
1789453240,monolith-partial-03,14
1789453250,monolith-partial-03,14
1789453260,monolith-partial-03,14
1789453270,monolith-partial-03,14
1789453280,monolith-partial-03,14
1789453290,monolith-partial-03,14
1789453300,monolith-partial-03,14
1789453310,monolith-partial-03,14
1789453320,monolith-partial-03,14
1789453330,monolith-partial-03,14
1789453340,monolith-partial-03,14
1789453350,monolith-partial-03,14
1789453360,monolith-partial-03,14
1789453370,monolith-partial-03,14
1789453380,monolith-partial-03,14
1789453390,monolith-partial-03,14
1789453400,monolith-partial-03,14
1789453410,monolith-partial-03,14
1789453420,monolith-partial-03,14
1789453430,monolith-partial-03,14
1789453440,monolith-partial-03,14
1789453450,monolith-partial-03,14
1789453460,monolith-partial-03,14
1789453470,monolith-partial-03,14
1789453480,monolith-partial-03,14
1789453490,monolith-partial-03,14
1789453500,monolith-partial-03,14
1789453510,monolith-partial-03,14
1789453520,monolith-partial-03,14
1789453530,monolith-partial-03,14
1789453540,monolith-partial-03,14
1789453550,monolith-partial-03,14
1789453560,monolith-partial-03,14
1789453570,monolith-partial-03,14
1789453580,monolith-partial-03,14
1789453590,monolith-partial-03,14
1789452560,products-service,1
1789452570,products-service,1
1789452580,products-service,3
1789452590,products-service,4
1789452600,products-service,5
1789452610,products-service,6
1789452620,products-service,8
1789452630,products-service,8
1789452640,products-service,9
1789452650,products-service,9
1789452660,products-service,9
1789452670,products-service,9
1789452680,products-service,9
1789452690,products-service,9
1789452700,products-service,9
1789452710,products-service,9
1789452720,products-service,9
1789452730,products-service,9
1789452740,products-service,9
1789452750,products-service,9
1789452760,products-service,9
1789452770,products-service,9
1789452780,products-service,9
1789452790,products-service,9
1789452800,products-service,9
1789452810,products-service,9
1789452820,products-service,9
1789452830,products-service,9
1789452840,products-service,9
1789452850,products-service,9
1789452860,products-service,9
1789452870,products-service,9
1789452880,products-service,9
1789452890,products-service,9
1789452900,products-service,9
1789452910,products-service,9
1789452920,products-service,9
1789452930,products-service,9
1789452940,products-service,9
1789452950,products-service,9
1789452960,products-service,9
1789452970,products-service,9
1789452980,products-service,10
1789452990,products-service,10
1789453000,products-service,10
1789453010,products-service,10
1789453020,products-service,10
1789453030,products-service,10
1789453040,products-service,10
1789453050,products-service,13
1789453060,products-service,13
1789453070,products-service,13
1789453080,products-service,13
1789453090,products-service,13
1789453100,products-service,13
1789453110,products-service,13
1789453120,products-service,13
1789453130,products-service,13
1789453140,products-service,13
1789453150,products-service,13
1789453160,products-service,13
1789453170,products-service,13
1789453180,products-service,13
1789453190,products-service,13
1789453200,products-service,13
1789453210,products-service,13
1789453220,products-service,13
1789453230,products-service,13
1789453240,products-service,13
1789453250,products-service,14
1789453260,products-service,14
1789453270,products-service,14
1789453280,products-service,14
1789453290,products-service,14
1789453300,products-service,14
1789453310,products-service,14
1789453320,products-service,14
1789453330,products-service,14
1789453340,products-service,14
1789453350,products-service,14
1789453360,products-service,14
1789453370,products-service,14
1789453380,products-service,14
1789453390,products-service,14
1789453400,products-service,14
1789453410,products-service,14
1789453420,products-service,14
1789453430,products-service,14
1789453440,products-service,14
1789453450,products-service,14
1789453460,products-service,14
1789453470,products-service,14
1789453480,products-service,14
1789453490,products-service,14
1789453500,products-service,14
1789453510,products-service,14
1789453520,products-service,14
1789453530,products-service,14
1789453540,products-service,14
1789453550,products-service,14
1789453560,products-service,14
1789453570,products-service,14
1789453580,products-service,14
1789453590,products-service,14
1789452560,users-service,1
1789452570,users-service,2
1789452580,users-service,4
1789452590,users-service,5
1789452600,users-service,6
1789452610,users-service,6
1789452620,users-service,7
1789452630,users-service,7
1789452640,users-service,7
1789452650,users-service,7
1789452660,users-service,8
1789452670,users-service,8
1789452680,users-service,8
1789452690,users-service,8
1789452700,users-service,8
1789452710,users-service,8
1789452720,users-service,8
1789452730,users-service,8
1789452740,users-service,8
1789452750,users-service,8
1789452760,users-service,8
1789452770,users-service,8
1789452780,users-service,8
1789452790,users-service,8
1789452800,users-service,8
1789452810,users-service,8
1789452820,users-service,8
