timestamp,service,value
1789453626,monolith-partial-03,1
1789453636,monolith-partial-03,2
1789453646,monolith-partial-03,3
1789453656,monolith-partial-03,5
1789453666,monolith-partial-03,9
1789453676,monolith-partial-03,11
1789453686,monolith-partial-03,12
1789453696,monolith-partial-03,12
1789453706,monolith-partial-03,11
1789453716,monolith-partial-03,14
1789453726,monolith-partial-03,14
1789453736,monolith-partial-03,14
1789453746,monolith-partial-03,14
1789453756,monolith-partial-03,14
1789453766,monolith-partial-03,14
1789453776,monolith-partial-03,13
1789453786,monolith-partial-03,13
1789453796,monolith-partial-03,14
1789453806,monolith-partial-03,14
1789453816,monolith-partial-03,14
1789453826,monolith-partial-03,14
1789453836,monolith-partial-03,14
1789453846,monolith-partial-03,14
1789453856,monolith-partial-03,14
1789453866,monolith-partial-03,14
1789453876,monolith-partial-03,14
1789453886,monolith-partial-03,14
1789453896,monolith-partial-03,14
1789453906,monolith-partial-03,11
1789453916,monolith-partial-03,14
1789453926,monolith-partial-03,14
1789453936,monolith-partial-03,14
1789453946,monolith-partial-03,14
1789453956,monolith-partial-03,14
1789453966,monolith-partial-03,14
1789453976,monolith-partial-03,13
1789453986,monolith-partial-03,14
1789453996,monolith-partial-03,13
1789454006,monolith-partial-03,14
1789454016,monolith-partial-03,14
1789454026,monolith-partial-03,13
1789454036,monolith-partial-03,14
1789454046,monolith-partial-03,14
1789454056,monolith-partial-03,14
1789454066,monolith-partial-03,12
1789454076,monolith-partial-03,14
1789454086,monolith-partial-03,14
1789454096,monolith-partial-03,14
1789454106,monolith-partial-03,14
1789454116,monolith-partial-03,14
1789454126,monolith-partial-03,14
1789454136,monolith-partial-03,11
1789454146,monolith-partial-03,14
1789454156,monolith-partial-03,12
1789454166,monolith-partial-03,14
1789454176,monolith-partial-03,12
1789454186,monolith-partial-03,14
1789454196,monolith-partial-03,11
1789454206,monolith-partial-03,14
1789454216,monolith-partial-03,13
1789454226,monolith-partial-03,14
1789454236,monolith-partial-03,14
1789454246,monolith-partial-03,13
1789454256,monolith-partial-03,13
1789454266,monolith-partial-03,14
1789454276,monolith-partial-03,12
1789454286,monolith-partial-03,13
1789454296,monolith-partial-03,13
1789454306,monolith-partial-03,13
1789454316,monolith-partial-03,0
1789454326,monolith-partial-03,8
1789454336,monolith-partial-03,1
1789454346,monolith-partial-03,0
1789454356,monolith-partial-03,12
1789454366,monolith-partial-03,9
1789454376,monolith-partial-03,0
1789454386,monolith-partial-03,7
1789454396,monolith-partial-03,11
1789454406,monolith-partial-03,10
1789454416,monolith-partial-03,1
1789454426,monolith-partial-03,3
1789454436,monolith-partial-03,2
1789454446,monolith-partial-03,8
1789454456,monolith-partial-03,0
1789454466,monolith-partial-03,0
1789454476,monolith-partial-03,0
1789454486,monolith-partial-03,7
1789454496,monolith-partial-03,0
1789454506,monolith-partial-03,7
1789454516,monolith-partial-03,11
1789454526,monolith-partial-03,1
1789454536,monolith-partial-03,7
1789454546,monolith-partial-03,8
1789454556,monolith-partial-03,0
1789454566,monolith-partial-03,12
1789454576,monolith-partial-03,12
1789454586,monolith-partial-03,0
1789454596,monolith-partial-03,12
1789454606,monolith-partial-03,0
1789454616,monolith-partial-03,10
1789454626,monolith-partial-03,0
1789454636,monolith-partial-03,10
1789454646,monolith-partial-03,14
1789454656,monolith-partial-03,14
1789453626,products-service,1
1789453636,products-service,2
1789453646,products-service,3
1789453656,products-service,6
1789453666,products-service,6
1789453676,products-service,6
1789453686,products-service,6
1789453696,products-service,7
1789453706,products-service,7
1789453716,products-service,7
1789453726,products-service,7
1789453736,products-service,7
1789453746,products-service,7
1789453756,products-service,7
1789453766,products-service,7
1789453776,products-service,7
1789453786,products-service,7
1789453796,products-service,7
1789453806,products-service,7
1789453816,products-service,7
1789453826,products-service,7
1789453836,products-service,7
1789453846,products-service,7
1789453856,products-service,7
1789453866,products-service,8
1789453876,products-service,10
1789453886,products-service,10
1789453896,products-service,10
1789453906,products-service,10
1789453916,products-service,10
1789453926,products-service,9
1789453936,products-service,9
1789453946,products-service,10
1789453956,products-service,10
1789453966,products-service,10
1789453976,products-service,10
1789453986,products-service,10
1789453996,products-service,10
1789454006,products-service,10
1789454016,products-service,10
1789454026,products-service,10
1789454036,products-service,10
1789454046,products-service,10
1789454056,products-service,10
1789454066,products-service,9
1789454076,products-service,9
1789454086,products-service,10
1789454096,products-service,10
1789454106,products-service,10
1789454116,products-service,10
1789454126,products-service,10
1789454136,products-service,10
1789454146,products-service,10
1789454156,products-service,10
1789454166,products-service,10
1789454176,products-service,10
1789454186,products-service,9
1789454196,products-service,10
1789454206,products-service,10
1789454216,products-service,10
1789454226,products-service,10
1789454236,products-service,10
1789454246,products-service,10
1789454256,products-service,10
1789454266,products-service,10
1789454276,products-service,10
1789454286,products-service,9
1789454296,products-service,9
1789454306,products-service,14
1789454316,products-service,8
1789454326,products-service,12
1789454336,products-service,12
1789454346,products-service,12
1789454356,products-service,7
1789454366,products-service,14
1789454376,products-service,11
1789454386,products-service,14
1789454396,products-service,14
1789454406,products-service,11
1789454416,products-service,13
1789454426,products-service,14
1789454436,products-service,12
1789454446,products-service,14
1789454456,products-service,13
1789454466,products-service,12
1789454476,products-service,13
1789454486,products-service,14
1789454496,products-service,11
1789454506,products-service,14
1789454516,products-service,13
1789454526,products-service,12
1789454536,products-service,13
1789454546,products-service,9
1789454556,products-service,13
1789454566,products-service,8
1789454576,products-service,13
1789454586,products-service,12
1789454596,products-service,14
1789454606,products-service,12
1789454616,products-service,12
1789454626,products-service,10
1789454636,products-service,14
1789454646,products-service,14
1789454656,products-service,14
1789453626,users-service,1
1789453636,users-service,1
1789453646,users-service,2
1789453656,users-service,4
1789453666,users-service,4
1789453676,users-service,7
1789453686,users-service,7
1789453696,users-service,7
1789453706,users-service,7
1789453716,users-service,7
1789453726,users-service,7
1789453736,users-service,7
1789453746,users-service,7
1789453756,users-service,7
1789453766,users-service,7
1789453776,users-service,9
1789453786,users-service,6
1789453796,users-service,9
1789453806,users-service,9
1789453816,users-service,9
1789453826,users-service,7
1789453836,users-service,9
1789453846,users-service,8
1789453856,users-service,9
1789453866,users-service,9
1789453876,users-service,9
1789453886,users-service,9
1789453896,users-service,9
1789453906,users-service,9
1789453916,users-service,9
1789453926,users-service,8
1789453936,users-service,9
1789453946,users-service,9
1789453956,users-service,9
1789453966,users-service,9
1789453976,users-service,9
1789453986,users-service,9
1789453996,users-service,9
1789454006,users-service,9
1789454016,users-service,9
1789454026,users-service,12
1789454036,users-service,11
1789454046,users-service,12
1789454056,users-service,12
1789454066,users-service,12
1789454076,users-service,12
1789454086,users-service,12
1789454096,users-service,12
1789454106,users-service,12
1789454116,users-service,12
1789454126,users-service,12
1789454136,users-service,11
1789454146,users-service,11
1789454156,users-service,12
1789454166,users-service,12
1789454176,users-service,12
1789454186,users-service,12
1789454196,users-service,12
1789454206,users-service,12
1789454216,users-service,12
1789454226,users-service,12
1789454236,users-service,12
1789454246,users-service,12
1789454256,users-service,11
1789454266,users-service,12
1789454276,users-service,12
1789454286,users-service,12
1789454296,users-service,12
1789454306,users-service,11
1789454316,users-service,14
1789454326,users-service,13
1789454336,users-service,13
1789454346,users-service,14
1789454356,users-service,13
1789454366,users-service,13
1789454376,users-service,14
1789454386,users-service,14
1789454396,users-service,14
1789454406,users-service,14
1789454416,users-service,14
1789454426,users-service,10
1789454436,users-service,14
1789454446,users-service,11
1789454456,users-service,14
1789454466,users-service,14
1789454476,users-service,13
1789454486,users-service,13
1789454496,users-service,11
1789454506,users-service,12
1789454516,users-service,14
1789454526,users-service,11
1789454536,users-service,14
1789454546,users-service,11
1789454556,users-service,14
1789454566,users-service,13
1789454576,users-service,12
1789454586,users-service,14
1789454596,users-service,14
1789454606,users-service,14
1789454616,users-service,11
1789454626,users-service,14
1789454636,users-service,9
1789454646,users-service,14
1789454656,users-service,14
