timestamp,container,service,cpu_percent,memory_mb
1789455775.111,research-api-nginx-1,nginx,2.24,13.0
1789455775.111,research-api-orders-service-1,orders-service,2.63,6.035
1789455775.111,research-api-products-service-1,products-service,2.48,8.004
1789455775.111,research-api-inventory-service-1,inventory-service,0.16,6.449
1789455775.111,research-api-users-service-1,users-service,1.76,6.367
1789455775.111,research-api-grafana-1,grafana,0.03,49.55
1789455775.111,research-api-postgres-1,postgres,2.1,33.73
1789455775.111,research-api-prometheus-1,prometheus,0.0,24.94
1789455775.111,research-api-cadvisor-1,cadvisor,0.0,15.93
1789455780.106,research-api-nginx-1,nginx,7.8,13.7
1789455780.106,research-api-orders-service-1,orders-service,8.9,8.41
1789455780.106,research-api-products-service-1,products-service,6.27,9.738
1789455780.106,research-api-inventory-service-1,inventory-service,2.01,7.59
1789455780.106,research-api-users-service-1,users-service,5.51,7.297
1789455780.106,research-api-grafana-1,grafana,0.18,49.8
1789455780.106,research-api-postgres-1,postgres,6.3,40.87
1789455780.106,research-api-prometheus-1,prometheus,1.33,25.87
1789455780.106,research-api-cadvisor-1,cadvisor,0.0,15.75
1789455785.09,research-api-nginx-1,nginx,12.28,14.28
1789455785.09,research-api-orders-service-1,orders-service,15.08,10.57
1789455785.09,research-api-products-service-1,products-service,9.57,9.812
1789455785.09,research-api-inventory-service-1,inventory-service,2.82,8.16
1789455785.09,research-api-users-service-1,users-service,9.34,8.797
1789455785.09,research-api-grafana-1,grafana,0.06,49.57
1789455785.09,research-api-postgres-1,postgres,11.42,47.15
1789455785.09,research-api-prometheus-1,prometheus,0.0,25.73
1789455785.09,research-api-cadvisor-1,cadvisor,0.0,15.83
1789455790.086,research-api-nginx-1,nginx,14.22,14.48
1789455790.086,research-api-orders-service-1,orders-service,24.62,10.77
1789455790.086,research-api-products-service-1,products-service,16.25,9.672
1789455790.086,research-api-inventory-service-1,inventory-service,2.43,8.449
1789455790.086,research-api-users-service-1,users-service,9.96,8.883
1789455790.086,research-api-grafana-1,grafana,0.17,49.57
1789455790.086,research-api-postgres-1,postgres,16.83,50.79
1789455790.086,research-api-prometheus-1,prometheus,0.0,25.74
1789455790.086,research-api-cadvisor-1,cadvisor,0.0,15.83
1789455795.081,research-api-nginx-1,nginx,16.12,14.75
1789455795.081,research-api-orders-service-1,orders-service,22.01,11.22
1789455795.081,research-api-products-service-1,products-service,13.06,10.23
1789455795.081,research-api-inventory-service-1,inventory-service,2.97,8.055
1789455795.081,research-api-users-service-1,users-service,14.16,9.676
1789455795.081,research-api-grafana-1,grafana,0.03,49.65
1789455795.081,research-api-postgres-1,postgres,16.01,53.45
1789455795.081,research-api-prometheus-1,prometheus,0.0,25.95
1789455795.081,research-api-cadvisor-1,cadvisor,0.21,16.29
1789455800.088,research-api-nginx-1,nginx,22.33,14.3
1789455800.088,research-api-orders-service-1,orders-service,33.3,12.15
1789455800.088,research-api-products-service-1,products-service,17.63,10.75
1789455800.088,research-api-inventory-service-1,inventory-service,5.68,8.617
1789455800.088,research-api-users-service-1,users-service,18.36,10.93
1789455800.088,research-api-grafana-1,grafana,0.23,49.65
1789455800.088,research-api-postgres-1,postgres,24.38,60.87
1789455800.088,research-api-prometheus-1,prometheus,0.84,26.12
1789455800.088,research-api-cadvisor-1,cadvisor,0.0,16.29
1789455805.111,research-api-nginx-1,nginx,21.34,14.36
1789455805.111,research-api-orders-service-1,orders-service,34.02,12.48
1789455805.111,research-api-products-service-1,products-service,16.07,11.04
1789455805.111,research-api-inventory-service-1,inventory-service,4.07,8.973
1789455805.111,research-api-users-service-1,users-service,18.13,9.922
1789455805.111,research-api-grafana-1,grafana,0.04,49.74
1789455805.111,research-api-postgres-1,postgres,23.85,70.39
1789455805.111,research-api-prometheus-1,prometheus,0.0,26.14
1789455805.111,research-api-cadvisor-1,cadvisor,0.0,16.38
1789455810.088,research-api-nginx-1,nginx,18.84,14.6
1789455810.088,research-api-orders-service-1,orders-service,28.81,12.41
1789455810.088,research-api-products-service-1,products-service,16.47,11.16
1789455810.088,research-api-inventory-service-1,inventory-service,3.9,8.949
1789455810.088,research-api-users-service-1,users-service,18.06,10.3
1789455810.088,research-api-grafana-1,grafana,0.19,49.75
1789455810.088,research-api-postgres-1,postgres,21.53,72.23
1789455810.088,research-api-prometheus-1,prometheus,0.75,26.4
1789455810.088,research-api-cadvisor-1,cadvisor,0.0,16.38
1789455815.093,research-api-nginx-1,nginx,29.18,14.88
1789455815.093,research-api-orders-service-1,orders-service,44.93,13.43
1789455815.093,research-api-products-service-1,products-service,24.86,12.72
1789455815.093,research-api-inventory-service-1,inventory-service,5.7,8.727
1789455815.093,research-api-users-service-1,users-service,23.67,12.5
1789455815.093,research-api-grafana-1,grafana,0.09,50.32
1789455815.093,research-api-postgres-1,postgres,30.02,74.29
1789455815.093,research-api-prometheus-1,prometheus,0.0,26.51
1789455815.093,research-api-cadvisor-1,cadvisor,0.0,17.04
1789455820.12,research-api-nginx-1,nginx,21.78,14.46
1789455820.12,research-api-orders-service-1,orders-service,32.07,13.42
1789455820.12,research-api-products-service-1,products-service,17.42,10.99
1789455820.12,research-api-inventory-service-1,inventory-service,4.71,9.07
1789455820.12,research-api-users-service-1,users-service,17.92,11.43
1789455820.12,research-api-grafana-1,grafana,0.17,50.36
1789455820.12,research-api-postgres-1,postgres,21.13,75.7
1789455820.12,research-api-prometheus-1,prometheus,1.45,26.77
1789455820.12,research-api-cadvisor-1,cadvisor,0.0,17.04
1789455825.13,research-api-nginx-1,nginx,23.26,15.32
1789455825.13,research-api-orders-service-1,orders-service,29.48,13.2
1789455825.13,research-api-products-service-1,products-service,19.61,11.95
1789455825.13,research-api-inventory-service-1,inventory-service,4.09,9.625
1789455825.13,research-api-users-service-1,users-service,15.24,10.52
1789455825.13,research-api-grafana-1,grafana,0.04,50.47
1789455825.13,research-api-postgres-1,postgres,22.55,77.84
1789455825.13,research-api-prometheus-1,prometheus,0.0,26.78
1789455825.13,research-api-cadvisor-1,cadvisor,0.0,17.35
1789455830.102,research-api-nginx-1,nginx,23.5,15.76
1789455830.102,research-api-orders-service-1,orders-service,31.07,13.11
1789455830.102,research-api-products-service-1,products-service,18.66,10.84
1789455830.102,research-api-inventory-service-1,inventory-service,5.46,9.305
1789455830.102,research-api-users-service-1,users-service,19.38,11.18
1789455830.102,research-api-grafana-1,grafana,0.17,50.49
1789455830.102,research-api-postgres-1,postgres,22.64,78.89
1789455830.102,research-api-prometheus-1,prometheus,1.2,27.15
1789455830.102,research-api-cadvisor-1,cadvisor,0.0,17.35
1789455835.09,research-api-nginx-1,nginx,19.66,15.6
1789455835.09,research-api-orders-service-1,orders-service,30.97,13.97
1789455835.09,research-api-products-service-1,products-service,17.5,13.04
1789455835.09,research-api-inventory-service-1,inventory-service,5.56,9.148
1789455835.09,research-api-users-service-1,users-service,17.35,11.05
1789455835.09,research-api-grafana-1,grafana,0.05,50.87
1789455835.09,research-api-postgres-1,postgres,20.27,78.69
1789455835.09,research-api-prometheus-1,prometheus,0.0,27.25
1789455835.09,research-api-cadvisor-1,cadvisor,0.0,16.05
1789455840.09,research-api-nginx-1,nginx,26.53,15.71
1789455840.09,research-api-orders-service-1,orders-service,37.29,14.47
1789455840.09,research-api-products-service-1,products-service,20.34,11.69
1789455840.09,research-api-inventory-service-1,inventory-service,6.74,9.199
1789455840.09,research-api-users-service-1,users-service,20.21,11.12
1789455840.09,research-api-grafana-1,grafana,0.13,50.88
1789455840.09,research-api-postgres-1,postgres,25.45,78.79
