timestamp,service,value
1790051239,inventory-service,1
1790051249,inventory-service,1
1790051259,inventory-service,2
1790051269,inventory-service,2
1790051279,inventory-service,3
1790051289,inventory-service,3
1790051299,inventory-service,3
1790051309,inventory-service,3
1790051319,inventory-service,3
1790051329,inventory-service,4
1790051339,inventory-service,4
1790051349,inventory-service,4
1790051359,inventory-service,5
1790051369,inventory-service,5
1790051379,inventory-service,5
1790051389,inventory-service,5
1790051399,inventory-service,5
1790051409,inventory-service,5
1790051419,inventory-service,5
1790051429,inventory-service,5
1790051439,inventory-service,5
1790051449,inventory-service,5
1790051459,inventory-service,5
1790051469,inventory-service,5
1790051479,inventory-service,5
1790051489,inventory-service,5
1790051499,inventory-service,5
1790051509,inventory-service,5
1790051519,inventory-service,5
1790051529,inventory-service,5
1790051539,inventory-service,5
1790051549,inventory-service,5
1790051559,inventory-service,5
1790051569,inventory-service,5
1790051579,inventory-service,5
1790051589,inventory-service,5
1790051599,inventory-service,5
1790051609,inventory-service,5
1790051619,inventory-service,5
1790051629,inventory-service,5
1790051639,inventory-service,5
1790051649,inventory-service,5
1790051659,inventory-service,5
1790051669,inventory-service,5
1790051679,inventory-service,3
1790051689,inventory-service,5
1790051699,inventory-service,5
1790051709,inventory-service,5
1790051719,inventory-service,5
1790051729,inventory-service,5
1790051739,inventory-service,5
1790051749,inventory-service,5
1790051759,inventory-service,5
1790051769,inventory-service,5
1790051779,inventory-service,5
1790051789,inventory-service,5
1790051799,inventory-service,3
1790051809,inventory-service,5
1790051819,inventory-service,5
1790051829,inventory-service,5
1790051839,inventory-service,5
1790051849,inventory-service,5
1790051859,inventory-service,5
1790051869,inventory-service,5
1790051879,inventory-service,5
1790051889,inventory-service,5
1790051899,inventory-service,5
1790051909,inventory-service,5
1790051919,inventory-service,10
1790051929,inventory-service,8
1790051939,inventory-service,14
1790051949,inventory-service,14
1790051959,inventory-service,13
1790051969,inventory-service,14
1790051979,inventory-service,14
1790051989,inventory-service,12
1790051999,inventory-service,14
1790052009,inventory-service,14
1790052019,inventory-service,14
1790052029,inventory-service,12
1790052039,inventory-service,14
1790052049,inventory-service,14
1790052059,inventory-service,13
1790052069,inventory-service,14
1790052079,inventory-service,12
1790052089,inventory-service,14
1790052099,inventory-service,14
1790052109,inventory-service,11
1790052119,inventory-service,14
1790052129,inventory-service,14
1790052139,inventory-service,14
1790052149,inventory-service,13
1790052159,inventory-service,13
1790052169,inventory-service,14
1790052179,inventory-service,13
1790052189,inventory-service,14
1790052199,inventory-service,14
1790052209,inventory-service,14
1790052219,inventory-service,13
1790052229,inventory-service,14
1790052239,inventory-service,14
1790052249,inventory-service,14
1790052259,inventory-service,14
1790052269,inventory-service,14
1790051239,orders-service,1
1790051249,orders-service,1
1790051259,orders-service,3
1790051269,orders-service,4
1790051279,orders-service,8
1790051289,orders-service,10
1790051299,orders-service,10
1790051309,orders-service,10
1790051319,orders-service,10
1790051329,orders-service,10
1790051339,orders-service,10
1790051349,orders-service,10
1790051359,orders-service,10
1790051369,orders-service,10
1790051379,orders-service,9
1790051389,orders-service,8
1790051399,orders-service,10
1790051409,orders-service,10
1790051419,orders-service,10
1790051429,orders-service,10
1790051439,orders-service,10
1790051449,orders-service,9
1790051459,orders-service,9
1790051469,orders-service,10
1790051479,orders-service,10
1790051489,orders-service,10
1790051499,orders-service,10
1790051509,orders-service,10
1790051519,orders-service,10
1790051529,orders-service,10
1790051539,orders-service,10
1790051549,orders-service,10
1790051559,orders-service,7
1790051569,orders-service,10
1790051579,orders-service,10
1790051589,orders-service,8
1790051599,orders-service,10
1790051609,orders-service,7
1790051619,orders-service,10
1790051629,orders-service,10
1790051639,orders-service,14
1790051649,orders-service,13
1790051659,orders-service,13
1790051669,orders-service,14
