stage,run,metric,unit,target,load_level,samples,mean,p95,max
05b,1,process_cpu_percent,percentual de um nucleo,cadvisor,low,30,0.22,0.26,0.28
05b,1,process_cpu_percent,percentual de um nucleo,cadvisor,medium,30,0.183,0.231,0.24
05b,1,process_cpu_percent,percentual de um nucleo,cadvisor,high,30,0.203,0.251,0.26
05b,1,process_cpu_percent,percentual de um nucleo,inventory-service,low,30,4.489,4.951,5.0
05b,1,process_cpu_percent,percentual de um nucleo,inventory-service,medium,30,14.962,16.791,16.8
05b,1,process_cpu_percent,percentual de um nucleo,inventory-service,high,30,23.488,24.693,24.82
05b,1,process_cpu_percent,percentual de um nucleo,prometheus,low,30,0.215,0.26,0.3
05b,1,process_cpu_percent,percentual de um nucleo,prometheus,medium,30,0.165,0.191,0.2
05b,1,process_cpu_percent,percentual de um nucleo,prometheus,high,30,0.197,0.22,0.22
05b,1,process_cpu_percent,percentual de um nucleo,orders-service,low,30,30.019,34.016,34.38
05b,1,process_cpu_percent,percentual de um nucleo,orders-service,medium,30,127.071,151.807,152.38
05b,1,process_cpu_percent,percentual de um nucleo,orders-service,high,30,352.559,406.054,409.14
05b,1,process_cpu_percent,percentual de um nucleo,products-service,low,30,17.522,19.648,19.8
05b,1,process_cpu_percent,percentual de um nucleo,products-service,medium,30,57.057,62.984,63.22
05b,1,process_cpu_percent,percentual de um nucleo,products-service,high,30,84.837,89.633,91.36
05b,1,process_cpu_percent,percentual de um nucleo,users-service,low,30,16.916,18.895,19.02
05b,1,process_cpu_percent,percentual de um nucleo,users-service,medium,30,54.735,59.912,60.14
05b,1,process_cpu_percent,percentual de um nucleo,users-service,high,30,73.418,77.793,79.0
05b,1,process_memory_mb,MB,cadvisor,low,30,41.22,41.998,42.355
05b,1,process_memory_mb,MB,cadvisor,medium,30,42.813,44.039,44.254
05b,1,process_memory_mb,MB,cadvisor,high,30,44.773,46.195,46.469
05b,1,process_memory_mb,MB,inventory-service,low,30,17.768,18.765,19.016
05b,1,process_memory_mb,MB,inventory-service,medium,30,18.399,18.808,18.887
05b,1,process_memory_mb,MB,inventory-service,high,30,20.928,21.433,21.641
05b,1,process_memory_mb,MB,prometheus,low,30,83.952,86.035,86.035
05b,1,process_memory_mb,MB,prometheus,medium,30,85.63,86.227,86.227
05b,1,process_memory_mb,MB,prometheus,high,30,86.211,87.178,87.234
05b,1,process_memory_mb,MB,orders-service,low,30,21.455,22.274,22.312
05b,1,process_memory_mb,MB,orders-service,medium,30,23.867,24.721,24.879
05b,1,process_memory_mb,MB,orders-service,high,30,38.038,47.23,49.68
05b,1,process_memory_mb,MB,products-service,low,30,20.176,21.026,21.176
05b,1,process_memory_mb,MB,products-service,medium,30,22.742,23.673,24.488
05b,1,process_memory_mb,MB,products-service,high,30,25.554,26.161,26.266
05b,1,process_memory_mb,MB,users-service,low,30,18.98,19.519,19.77
05b,1,process_memory_mb,MB,users-service,medium,30,20.719,21.321,21.602
05b,1,process_memory_mb,MB,users-service,high,30,23.885,24.887,25.098
05b,1,goroutines,goroutines,cadvisor,low,30,26.733,28.0,28.0
05b,1,goroutines,goroutines,cadvisor,medium,30,26.767,28.0,28.0
05b,1,goroutines,goroutines,cadvisor,high,30,26.267,27.0,28.0
05b,1,goroutines,goroutines,inventory-service,low,30,9.067,9.55,10.0
05b,1,goroutines,goroutines,inventory-service,medium,30,9.967,13.0,19.0
05b,1,goroutines,goroutines,inventory-service,high,30,12.267,18.55,19.0
05b,1,goroutines,goroutines,prometheus,low,30,45.2,46.0,46.0
05b,1,goroutines,goroutines,prometheus,medium,30,45.167,46.0,46.0
05b,1,goroutines,goroutines,prometheus,high,30,45.133,46.0,46.0
05b,1,goroutines,goroutines,orders-service,low,30,15.533,24.75,52.0
05b,1,goroutines,goroutines,orders-service,medium,30,24.367,37.1,51.0
